on x=-5..46,y=-32..20,z=-18..26
on x=35536..40478,y=59087..82670,z=-22132..-8228
on x=30311..65221,y=28463..49610,z=-56548..-43899
on x=39910..64396,y=-15554..6772,z=-77870..-61149
on x=63583..81517,y=-27533..4944,z=-25021..2998
on x=33270..48936,y=29978..53349,z=-64005..-46652
on x=-56719..-45447,y=48476..70535,z=19845..43624
on x=-18909..-4514,y=-33630..-18313,z=-81121..-68081
on x=31236..49957,y=37375..64529,z=40066..50479
on x=23928..60990,y=47394..71017,z=-38356..-19687
on x=14948..29328,y=10910..33468,z=-80969..-58848
on x=-3772..13969,y=-63212..-52751,z=-57568..-40117
on x=-87668..-65329,y=5661..25191,z=-16217..-2548
on x=-85618..-61349,y=-28751..724,z=-55669..-27090
on x=31666..50666,y=61760..79239,z=-5421..13325
on x=-43549..-16273,y=11600..29339,z=58406..69643
on x=-71478..-49781,y=27481..49069,z=11039..36531
on x=-17921..763,y=-88151..-58003,z=30178..41080
on x=46026..66776,y=14383..45440,z=40733..70614
on x=6163..18610,y=34482..54360,z=60951..89457
on x=19365..38532,y=-76528..-64410,z=11243..32396
on x=43561..71092,y=37565..67440,z=-7400..10989
on x=-78980..-62759,y=-37937..-18712,z=-1174..20466
on x=-84895..-61183,y=-49742..-11414,z=-40817..-27778
on x=-4950..15040,y=-68419..-47571,z=-53761..-38955
on x=49075..58693,y=47622..72167,z=-38355..-14042
on x=-251..24365,y=-83737..-52646,z=-46887..-23747
on x=7867..22830,y=-69902..-54281,z=39203..56857
on x=9363..26818,y=-90361..-66389,z=498..11013
on x=-83134..-56144,y=-28208..-24507,z=-54343..-27431
on x=6218..37705,y=-46023..-13463,z=63985..73956
on x=18495..39411,y=-26282..5248,z=-88148..-58497
on x=-45343..-35708,y=60706..70020,z=5612..17818
on x=-84718..-59568,y=-43294..-5711,z=-6416..2360
on x=31112..44903,y=68718..77761,z=-9607..6150
on x=38564..51370,y=-58071..-40868,z=16841..56101
on x=-90218..-62438,y=-16396..15602,z=7324..40169
on x=22063..40035,y=-82841..-51548,z=-12200..-2319
on x=61862..68317,y=-58231..-29405,z=-30145..-16073
on x=-35659..-26115,y=-80307..-58295,z=-7971..4817
on x=65798..82975,y=16152..37978,z=-13348..9888
on x=-22630..-2020,y=61028..82758,z=17882..53557
on x=-67183..-35832,y=53346..61736,z=-12538..-3992
on x=17561..43947,y=-691..17483,z=-80636..-71364
on x=-85254..-57085,y=-45670..-26674,z=-35836..-16893
on x=50248..59220,y=51067..53406,z=5200..24299
on x=-66088..-58018,y=-54019..-18590,z=22979..55616
on x=-21580..-1226,y=-70163..-50890,z=35971..58676
on x=-28699..-7879,y=58342..80552,z=-2944..4892
on x=32137..37434,y=57922..89847,z=-11139..4540
on x=-30782..-26050,y=-71857..-56160,z=25962..45221
on x=3458..14941,y=39444..54613,z=-78667..-51181
on x=-80957..-61391,y=-50519..-44099,z=558..36217
on x=56295..67502,y=-52211..-21726,z=-38237..-23495
on x=-59221..-26440,y=-8835..8022,z=-69874..-51958
on x=9703..31412,y=-66797..-44997,z=-69333..-41279
on x=-25059..-4256,y=50641..81219,z=41651..53960
on x=-78241..-51194,y=31612..49911,z=8201..31693
on x=54112..76706,y=12410..48082,z=-4849..18133
on x=-69337..-38953,y=49176..56256,z=23632..36858
on x=-2661..28887,y=-70999..-53499,z=-62680..-47815
on x=-47941..-29732,y=70681..92846,z=11502..17530
on x=42289..62010,y=36246..60613,z=27169..37328
on x=-91319..-65281,y=-12414..-1137,z=-562..33562
on x=67610..87861,y=-16375..5387,z=4908..37520
on x=-64941..-37494,y=12789..19739,z=43684..59305
on x=-48315..-23707,y=-63379..-46409,z=-52056..-50037
on x=39998..55060,y=-23924..174,z=47043..74650
on x=15519..54000,y=-37758..-7362,z=56719..86415
on x=-48899..-33632,y=-70284..-38768,z=-35439..-12719
on x=-32719..-19579,y=-72481..-55178,z=22036..45341
on x=3957..31100,y=-43843..-7496,z=-77904..-55904
on x=58913..74866,y=427..13237,z=-32194..-25180
on x=14045..39458,y=57126..69184,z=-56733..-40909
on x=-33890..-15281,y=-87080..-60332,z=-7896..17708
on x=-62854..-44941,y=25995..33486,z=-40656..-31936
on x=-92186..-67248,y=-31617..-10693,z=-13091..10422
on x=-20335..-1607,y=33592..61801,z=49129..66118
on x=4923..21291,y=56686..89367,z=13440..33655
on x=-85603..-58549,y=-57595..-29882,z=-29310..7688
on x=-31013..-12004,y=65998..87119,z=20798..38505
on x=-31477..631,y=-4218..13444,z=64468..96359
on x=-53080..-23970,y=-67988..-50724,z=35761..56920
on x=-3114..31515,y=-8351..9393,z=59128..93321
on x=-55700..-34434,y=2745..17959,z=61954..88396
on x=-11042..14693,y=-54901..-21447,z=67817..81842
on x=21055..36006,y=-87302..-60889,z=-15547..1734
on x=-54134..-40995,y=-47264..-26058,z=-60793..-32468
on x=58900..84612,y=19801..52338,z=-29863..-5113
on x=51518..67122,y=-73957..-44881,z=-21799..377
on x=-76186..-60253,y=-52998..-32671,z=-10966..22158
on x=-85814..-69675,y=-16314..-1479,z=12576..29151
on x=-17279..-7487,y=69461..82491,z=-43685..-20033
on x=40521..54246,y=27004..54142,z=29821..43721
on x=39205..48927,y=-76831..-53845,z=10907..30764
on x=-33186..-8425,y=-25334..-12643,z=-90320..-73208
on x=-28871..-10579,y=52805..71984,z=40782..48756
on x=-84199..-69384,y=-24294..10470,z=-31795..-504
on x=14215..35943,y=-68234..-54826,z=-40696..-26587
on x=-1154..8736,y=541..27118,z=-92688..-67093
on x=-78094..-57999,y=30080..50610,z=14623..47207
on x=-71351..-61777,y=32493..36723,z=-43154..-20385
on x=29680..49711,y=64389..80775,z=-14976..-7530
on x=21466..32444,y=-71107..-49184,z=32025..47710
on x=-13395..2005,y=55307..82256,z=13571..32919
off x=-75925..-51372,y=38378..56338,z=4726..22058
off x=-81435..-61321,y=-19944..14261,z=-12909..5888
on x=-28811..-418,y=-60179..-36825,z=60339..82792
on x=-56836..-42864,y=51509..69993,z=-38353..-9466
off x=33241..47683,y=-57215..-42041,z=-66120..-48804
off x=5602..32171,y=67207..82648,z=687..19684
on x=-77530..-54996,y=-18932..14116,z=-41205..-26951
off x=-26770..539,y=34948..50177,z=48516..78552
off x=-46087..-28406,y=-34280..-25940,z=-88646..-67393
off x=18159..44447,y=61027..74243,z=11037..47721
on x=12856..22197,y=-77260..-63311,z=9644..14020
on x=73356..83326,y=-28895..-11586,z=-12672..-9461
off x=67712..93385,y=4383..29307,z=-20971..-918
on x=-45997..-33017,y=-73653..-54744,z=-45919..-18834
on x=60720..69779,y=-36283..-5920,z=-50708..-27954
on x=19053..47867,y=2081..28770,z=64876..71876
on x=-527..17979,y=54470..79654,z=-40446..-35448
on x=57634..74279,y=-12554..-1277,z=-32432..-15188
off x=-5832..-3671,y=-73172..-56981,z=-55793..-43538
on x=-1264..8465,y=-42248..-24987,z=-89062..-53822
off x=-15774..21815,y=27050..48731,z=56418..72513
off x=-46133..-21613,y=66137..75384,z=6208..30313
on x=33118..53938,y=-65582..-37843,z=-37735..-12944
off x=-49999..-44727,y=-6444..11058,z=56795..82782
on x=48809..67169,y=19871..40744,z=-52762..-34126
off x=-83411..-59176,y=25797..45572,z=-40278..-27145
off x=32616..41066,y=-9846..22502,z=65723..76470
on x=-20460..-2811,y=-83364..-60153,z=29259..46240
on x=-4678..31497,y=-66769..-42660,z=47122..52963
off x=-79373..-44004,y=15610..27145,z=-60155..-24820
on x=-75928..-66979,y=-38564..-25541,z=-19893..-6451
on x=-40648..-20377,y=-16448..15340,z=68020..86613
off x=-62245..-35670,y=-31396..-7005,z=-65944..-45697
on x=-13973..20255,y=11258..38206,z=-88464..-74070
on x=-79431..-61223,y=-24640..2553,z=-45829..-35435
on x=-4924..9129,y=-80374..-53014,z=26057..45688
off x=6404..27786,y=47552..72969,z=-56049..-33886
off x=-60433..-45352,y=54256..72101,z=-1351..13871
on x=14354..49643,y=33977..50411,z=-78584..-53528
off x=-1250..19190,y=-69591..-51054,z=32606..57993
on x=44601..65261,y=-22387..-4877,z=-47514..-27914
off x=-76961..-53337,y=11751..35762,z=26662..51798
on x=-6110..17117,y=35295..55448,z=49203..65916
on x=-26314..7333,y=-10014..-190,z=-96699..-63078
on x=5073..27938,y=48893..68369,z=46606..53060
off x=9161..32324,y=31253..49108,z=59376..78095
off x=-76724..-46080,y=-37471..-7527,z=39313..59143
on x=-12104..25230,y=43873..63566,z=54973..71127
on x=-72007..-40895,y=-29918..-2483,z=-65639..-46254
off x=23116..41418,y=-16707..518,z=66003..82373
off x=7546..31315,y=-236..14978,z=73882..88170
off x=2975..26627,y=-28535..4054,z=65551..79183
off x=-63548..-40819,y=4251..34856,z=-69125..-53738
off x=36116..53160,y=18391..43033,z=53283..69572
off x=-8169..-7213,y=17466..44306,z=53116..81956
on x=43606..72143,y=38753..51975,z=30789..41812
on x=35845..48867,y=-15869..989,z=-69562..-58096
on x=-67758..-55029,y=-56935..-34340,z=-16747..14847
on x=45091..70880,y=18972..32828,z=-58444..-56030
off x=11622..45729,y=-11464..15892,z=55396..77935
off x=30723..44124,y=-50216..-38776,z=-58362..-52717
off x=53359..57764,y=-28444..-7054,z=47399..61343
on x=-72327..-61742,y=36941..63691,z=-9967..9016
on x=1184..28614,y=-72042..-59895,z=29436..49413
off x=-69303..-45932,y=-34340..-25505,z=-38098..-33099
on x=59045..88304,y=-30319..-10678,z=11682..39990
off x=53524..67731,y=-68251..-44887,z=882..10308
off x=-32029..-15563,y=-76737..-44100,z=-50442..-39369
off x=194..33756,y=-81633..-73368,z=-43607..-17799
off x=-48326..-13807,y=53400..85780,z=-5482..17259
on x=-4836..8518,y=-88585..-59292,z=-38817..-19966
off x=-39059..-5289,y=-38701..-18212,z=62298..87934
on x=38636..52369,y=-67782..-55060,z=-39916..-24812
off x=41566..50837,y=22379..30551,z=-65974..-50435
on x=-83246..-64136,y=-29788..2021,z=25088..51721
off x=-7306..17520,y=73996..76916,z=-44293..-10369
on x=-64653..-52809,y=14691..34105,z=-58569..-42334
on x=15682..33355,y=50316..82171,z=27668..43094
off x=-29490..-20692,y=51678..60437,z=39101..53564
off x=19272..37050,y=13981..31882,z=67811..82763
off x=24474..43806,y=-53159..-30998,z=29529..55383
on x=-90714..-55089,y=14725..45316,z=-1160..12104
on x=-64836..-35562,y=-8351..5014,z=-71436..-52114
off x=30933..47732,y=-64548..-62131,z=6870..17374
on x=-77680..-53166,y=8312..40487,z=36033..43235
on x=-5863..28121,y=14413..32208,z=-86695..-63943
on x=32413..51029,y=-68162..-40475,z=-64026..-40258
on x=-48144..-41618,y=-28042..-10133,z=-64990..-50925
on x=73532..98724,y=-21663..8040,z=662..20743
off x=51689..54423,y=40915..69007,z=3378..19020
off x=-3711..20642,y=66808..81277,z=-32665..-18224
off x=29497..56099,y=-59154..-38611,z=32874..69747
off x=-32780..2492,y=-81309..-65288,z=-52012..-28083
off x=12238..28287,y=60040..85737,z=2251..20540
off x=-78514..-47095,y=-52287..-24038,z=-51482..-20767
on x=-2476..22624,y=76854..93819,z=-16182..1908
on x=25782..55736,y=61375..79709,z=9605..31807
on x=-12247..16212,y=-75039..-64291,z=-43708..-25037
off x=-26281..-4119,y=31802..45275,z=61617..72578
off x=-77629..-55347,y=-37694..-22601,z=-48750..-25744
on x=-41090..-17088,y=-42730..-21946,z=-71684..-44738
off x=21171..52548,y=-73087..-62415,z=-24139..4853
on x=-10430..13741,y=-87082..-60233,z=29057..37997
off x=-33776..-18921,y=-9022..10689,z=60785..92622
off x=-17316..-5440,y=-46992..-37935,z=-72734..-65376
off x=-25276..-1515,y=-4036..5863,z=-94213..-63783
on x=6018..30570,y=-75934..-59098,z=-3614..21349
off x=47020..60774,y=16941..24239,z=52244..74152
on x=-28035..-8076,y=-83562..-56357,z=20214..35904
off x=-4864..9282,y=-58885..-52290,z=46576..71092
off x=-38607..-25227,y=-10107..20288,z=56552..78626
on x=-49296..-38783,y=1776..37729,z=-68328..-54075
off x=27839..40291,y=-2748..5372,z=-73179..-64910
off x=57012..63558,y=33773..63448,z=12538..30013
on x=7376..22139,y=46931..53925,z=40614..77423
on x=-36815..-4231,y=-79653..-53534,z=-54320..-30272
off x=-72451..-44505,y=11708..45028,z=30438..48099
on x=19422..54740,y=61056..68389,z=11710..35395
on x=34256..51333,y=24928..52293,z=-65652..-36708
off x=11235..22363,y=1316..13305,z=-95660..-75393
on x=40699..63818,y=-71842..-49029,z=-4105..24818
off x=-56129..-51451,y=-4050..32239,z=-62360..-48415
off x=7724..42005,y=-8468..7046,z=67268..89366
on x=-50038..-29191,y=190..9704,z=-85587..-62369
on x=52569..76812,y=29834..57890,z=-5460..24255
off x=3998..24292,y=-20205..10100,z=77120..86720
off x=-12018..6886,y=-28175..-5906,z=63737..83970
on x=64370..76913,y=20946..44292,z=-15861..-5899
off x=3647..21883,y=-73520..-66435,z=19047..38036
on x=26881..35736,y=50047..83360,z=27009..43013
on x=-54204..-46977,y=-58133..-44730,z=25366..34727
on x=60963..72747,y=-40989..-1428,z=27149..44298
on x=-86903..-63974,y=15796..44312,z=14110..31846
on x=30800..51265,y=67817..83500,z=7398..35684
on x=26115..46933,y=-78183..-68457,z=16590..22235
on x=50801..69558,y=14960..41009,z=-52573..-42699
on x=-76762..-62114,y=-41535..-30916,z=30799..36061
off x=-36971..-16432,y=69302..80179,z=5427..37800
on x=-59304..-42151,y=38961..75025,z=19077..30930
off x=-68878..-43214,y=-38416..-34281,z=-56876..-32491
off x=-41227..-30387,y=67997..78440,z=-18866..-4078
on x=-18264..4145,y=25638..53883,z=55825..72054
off x=-34237..-23188,y=-18538..-14122,z=-84576..-66422
on x=48651..72652,y=-75451..-55934,z=-5750..21478
off x=8517..15398,y=-47195..-20040,z=-91462..-57328
off x=1946..24398,y=-9423..-7809,z=-98479..-63063
off x=48647..64112,y=-44400..-36389,z=43567..50295
on x=-53108..-28792,y=-18105..16521,z=-79485..-50653
on x=10610..28165,y=74425..88696,z=-15151..11655
on x=26563..41972,y=-44034..-22600,z=-75006..-53514
on x=8785..23672,y=-17501..1486,z=70023..87851
off x=-23526..-2495,y=-9907..13959,z=-86018..-74132
on x=39471..66769,y=-76484..-41637,z=4179..30148
on x=3968..41357,y=-12766..21564,z=-83232..-58999
off x=5657..25453,y=69672..92433,z=-5865..1093
on x=196..22654,y=-76890..-45710,z=30347..50177
on x=53591..67443,y=641..12115,z=-53289..-40127
on x=38502..45974,y=26606..37157,z=-73606..-59489
off x=-28470..-4391,y=65949..75960,z=-52362..-18690
off x=-12052..12226,y=-43285..-11455,z=-76126..-67446
off x=28539..47924,y=30936..61611,z=39553..62922
on x=-51301..-29348,y=-61136..-41356,z=-62122..-40860
off x=-10842..12256,y=-4453..28219,z=62816..90429
off x=-65177..-46992,y=-996..14455,z=43331..66866
off x=-41471..-34895,y=-87935..-53932,z=-15068..10098
off x=64368..85731,y=20782..34222,z=20343..56619
on x=-66495..-37890,y=53669..66986,z=16753..25052
off x=-55523..-37167,y=-50099..-14312,z=-62328..-40509
on x=46869..65044,y=2893..32395,z=48728..67114
off x=-22730..-6869,y=-89892..-55716,z=-39058..-9375
on x=-35338..-10108,y=-79088..-61919,z=-52266..-26583
on x=-87579..-54734,y=3661..13979,z=-43516..-26852
on x=-26237..6696,y=31736..52895,z=-88832..-51997
on x=-6261..18171,y=35455..40829,z=-82724..-51885
off x=-84061..-53865,y=-37690..-28185,z=17406..27387
on x=22146..33574,y=-8382..21678,z=60530..93596
off x=-34985..-14118,y=-85401..-53871,z=-27449..-20505
on x=-65653..-57152,y=-41709..-26255,z=-55300..-30989
on x=-41289..-18827,y=-54843..-30751,z=43268..77728
on x=52348..65143,y=-66867..-47070,z=-18590..-2919
on x=25408..46684,y=52219..74706,z=-45724..-26197
off x=36306..61505,y=1854..18823,z=51517..71882
on x=28807..42884,y=-44933..-19495,z=-81888..-68452
off x=-22712..10868,y=-91624..-66163,z=-29698..2061
on x=-44614..-22060,y=-12205..6362,z=-75228..-67848
off x=69181..83413,y=22509..30155,z=-5505..7620
off x=-541..33061,y=-29171..-1387,z=-89039..-65688
off x=56369..86895,y=25436..32999,z=-36190..-5946
on x=-80106..-58102,y=4812..40730,z=-39905..-27846
off x=38087..49836,y=12311..28936,z=56763..70449
off x=-45431..-9536,y=27172..52966,z=54708..70851
on x=-49616..-21967,y=25466..55138,z=-65862..-49517
on x=-3678..22714,y=-89185..-68818,z=-38953..-22111
on x=57043..82773,y=-61228..-42569,z=6701..17395
on x=45714..76420,y=-58263..-27644,z=-39439..-20345
on x=-69167..-43379,y=7904..39678,z=-72903..-43716
off x=-87370..-55908,y=41125..52870,z=-338..26930
on x=-20884..1182,y=-87244..-73126,z=-17967..-8207
off x=-89696..-61051,y=-48909..-27178,z=-319..19788
off x=11134..25390,y=40961..62596,z=-79259..-41800
