seeds: 2041142901 113138307 302673608 467797997 1787644422 208119536 143576771 99841043 4088720102 111819874 946418697 13450451 3459931852 262303791 2913410855 533641609 2178733435 26814354 1058342395 175406592

seed-to-soil map:
1394150206 2633829006 45492562
4057263903 3686322327 7821024
4157273363 3548628394 1461692
3460422477 3694143351 102073653
4136949610 3800168581 20323753
1678202528 872422329 206477337
1556099825 2109473643 24687558
128927628 2679321568 66627266
2017018771 0 115268399
4065084927 3820492334 60041767
3411240257 4253176042 41791254
767703767 2441655844 94758017
1439642768 755965272 116457057
3782919646 4174367470 78808572

humidity-to-location map:
347042062 4204488573 2962316
877642375 2878291222 23518224
3638916554 3484768713 5466055
2890676240 3280663590 83564486
201731623 3228655138 52008452
1692198890 1946017811 25211210
1717410100 1270737209 92827656
3598929376 3630765534 39987178
2226479211 1578430526 262844314
687169155 3670752712 117494406
3884728324 1515480569 62949957
3494186405 1841274840 104742971
2753482998 2630924017 120642845
572458731 2235388494 114710424
3947678281 3490234768 140530766
3433348031 3167816764 60838374
350004378 2406580589 222454353
804663561 1442501755 72978814
4132461733 2901809446 35781203
4088209047 2937590649 38937925
1441554453 2350098918 56481671
3644382609 201731623 240345715
2489323525 1971229021 264159473
2974240726 3086380958 81435806
4127146972 3364228076 5314761
901160599 4207450889 87516407
988677006 442077338 350976352
1498036124 3369542837 115225876
1810237756 3788247118 416241455
1613262000 1363564865 78936890
253740075 2993078971 93301987
3055676532 894954785 375782424
1339653358 793053690 101901095
2874125843 2976528574 16550397
3431458956 2629034942 1889075
4168242936 2751566862 126724360
